,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15
topic_1,1.0,0.02066855404021566,-0.14975675230352045,-0.006987846353673718,-0.04111042990607861,-0.08166477109311085,-0.12297412758239185,-0.21339714380843283,-0.006766182613539059,-0.20325273258551602,-0.03189198854956047,-0.04778571846281166,-0.12664536797459933,-0.11479068469592521,-0.1957927966490949
topic_2,0.02066855404021566,1.0,-0.02111398155959538,0.15727402559474113,-0.1149643704174483,-0.032879366755333816,-0.06646362510834983,-0.018069347120407808,-0.09268942977109704,-0.05910913286873633,-0.006616777214669308,-0.030037511432161115,-0.038778545319376696,-0.08181927907384179,-0.1045658542221736
topic_3,-0.14975675230352045,-0.02111398155959538,1.0,-0.11520248437755967,-0.1449366887470733,-0.17216363311733837,-0.03813422986792794,-0.12782665890008055,-0.06613332039189994,-0.14796530785214482,-0.012874146683166193,-0.033622996937533824,-0.15294164035744678,-0.08519021676701138,-0.0688456463123796
topic_4,-0.006987846353673718,0.15727402559474113,-0.11520248437755967,1.0,-0.11687992735940773,-0.023053372957231425,-0.06603267702062926,-0.09846103189740069,-0.06741261260761257,-0.07838308357608338,-0.033463856700017634,-0.010950533971566445,-0.013520419832404823,-0.051591010008227425,-0.12653099688394448
topic_5,-0.04111042990607861,-0.1149643704174483,-0.1449366887470733,-0.11687992735940773,1.0,-0.06898420306079249,-0.14648399869630455,-0.09203857518904009,-0.001426129066918229,-0.0458488078218312,-0.09118256398925885,-0.07531767705910482,-0.04832638977486608,-0.11665576607878085,-0.1383318381002857
topic_6,-0.08166477109311085,-0.032879366755333816,-0.17216363311733837,-0.023053372957231425,-0.06898420306079249,1.0,-0.058213958615338096,-0.014584922796111096,0.06828320907340374,-0.05967775255942487,-0.11894117528282831,-0.0511163649932891,-0.035718101769021966,-0.02991989460289244,-0.20261944550637023
topic_7,-0.12297412758239185,-0.06646362510834983,-0.03813422986792794,-0.06603267702062926,-0.14648399869630455,-0.058213958615338096,1.0,-0.08585075197974698,-0.12847976285912102,-0.04984919512751501,-0.10104721734727935,-0.011510635423322221,-0.08551209856136165,0.14296725562736728,-0.13681111223856698
topic_8,-0.21339714380843283,-0.018069347120407808,-0.12782665890008055,-0.09846103189740069,-0.09203857518904009,-0.014584922796111096,-0.08585075197974698,1.0,-0.1200031752638769,-0.019633625710441655,-0.10732143228406056,-0.04907715749573782,-0.08959557911992577,-0.07333895125426548,0.021441684671386834
topic_9,-0.006766182613539059,-0.09268942977109704,-0.06613332039189994,-0.06741261260761257,-0.001426129066918229,0.06828320907340374,-0.12847976285912102,-0.1200031752638769,1.0,-0.09780624400513646,-0.008229088191305682,0.014123600210889164,-0.01646917971986155,-0.08713827767962744,-0.021425467094429933
topic_10,-0.20325273258551602,-0.05910913286873633,-0.14796530785214482,-0.07838308357608338,-0.0458488078218312,-0.05967775255942487,-0.04984919512751501,-0.019633625710441655,-0.09780624400513646,1.0,-0.05316657876444612,-0.025257091698359997,-0.02077903693233128,-0.002009476730902429,-0.061316678832497924
topic_11,-0.03189198854956047,-0.006616777214669308,-0.012874146683166193,-0.033463856700017634,-0.09118256398925885,-0.11894117528282831,-0.10104721734727935,-0.10732143228406056,-0.008229088191305682,-0.05316657876444612,1.0,-0.0348163417627776,-0.039963696015375604,-0.10274591828315602,0.0009103920591210345
topic_12,-0.04778571846281166,-0.030037511432161115,-0.033622996937533824,-0.010950533971566445,-0.07531767705910482,-0.0511163649932891,-0.011510635423322221,-0.04907715749573782,0.014123600210889164,-0.025257091698359997,-0.0348163417627776,1.0,-0.0011693256031618982,-0.014232444156015843,-0.028483054622284943
topic_13,-0.12664536797459933,-0.038778545319376696,-0.15294164035744678,-0.013520419832404823,-0.04832638977486608,-0.035718101769021966,-0.08551209856136165,-0.08959557911992577,-0.01646917971986155,-0.02077903693233128,-0.039963696015375604,-0.0011693256031618982,1.0,-0.006477605111333599,-0.15761121186023636
topic_14,-0.11479068469592521,-0.08181927907384179,-0.08519021676701138,-0.051591010008227425,-0.11665576607878085,-0.02991989460289244,0.14296725562736728,-0.07333895125426548,-0.08713827767962744,-0.002009476730902429,-0.10274591828315602,-0.014232444156015843,-0.006477605111333599,1.0,-0.14717764977182796
topic_15,-0.1957927966490949,-0.1045658542221736,-0.0688456463123796,-0.12653099688394448,-0.1383318381002857,-0.20261944550637023,-0.13681111223856698,0.021441684671386834,-0.021425467094429933,-0.061316678832497924,0.0009103920591210345,-0.028483054622284943,-0.15761121186023636,-0.14717764977182796,1.0
