k,status,perplexity,coherence_umass,coherence_npmi,exclusivity,topic_diversity,topic_separation,mean_max_topic_probability,score
1,coarse_reference,2005.334157160055,-1.3721888682650196,0.029319399776302133,1.0,1.0,0.0,1.0,
2,coarse_reference,1862.8405966369874,-1.4737980068016658,0.05214010932403563,0.727977963991965,0.9,0.4369335448269367,0.8516570813167745,
3,coarse_reference,1787.375167181067,-1.5078379553397034,0.07443105769483528,0.609795564134008,0.8444444444444444,0.4784456349277562,0.7951593592680753,
4,coarse_reference,1719.5122736263745,-1.5713052427769032,0.0749630173091759,0.5847622667752664,0.8333333333333334,0.5235612696989881,0.7190359020477728,
5,eligible,1685.5710116591613,-1.53230183904981,0.07547670443699293,0.5135442001363587,0.7333333333333333,0.5397256822365936,0.6900118241546258,0.5413566146996632
10,eligible,1656.4874563405065,-1.7805471694343193,0.06905988726118095,0.46008445858679103,0.6866666666666666,0.6157075636091276,0.5311970323120103,0.4120338808237365
15,eligible,1612.9602760628097,-1.8473555536272872,0.09394610959117895,0.4580087539888792,0.6711111111111111,0.6481881832536592,0.49662492393713775,0.6828744566019496
20,eligible,1599.7430855515863,-1.9878101304821367,0.07619612608276101,0.4424236020906763,0.6433333333333333,0.6649658626385812,0.462569734691924,0.49470439002173383
25,eligible,1596.5885632733105,-2.183850878891902,0.06775982397469603,0.45784445017304765,0.6693333333333333,0.6865844394277663,0.44041334335849697,0.512912984833275
30,eligible,1590.3290690725055,-2.162639795671297,0.053198795785896806,0.4499850658476503,0.6311111111111111,0.7007750232539778,0.4381560070353247,0.3536948612758346
35,eligible,1596.4946882549248,-2.212856675264879,0.054770190794262937,0.41916346325017434,0.6228571428571429,0.7025517367122285,0.4037094558843164,0.2740851117388403
40,eligible,1581.1868236012174,-2.3460328321446164,0.05983939259474162,0.4669276427003617,0.6666666666666666,0.7172239398092897,0.40041184409340064,0.5142591208996847
45,eligible,1582.9997698041984,-2.336992046983533,0.05785327874290748,0.46338315578128797,0.6607407407407407,0.7237534864185434,0.386617374019773,0.4877376291155524
50,eligible,1588.9439772514847,-2.3433782631850533,0.057012257887574115,0.44015640868189687,0.636,0.7255444869312239,0.372611677204911,0.3928280950747909
