doc_index,cleaned_abstract,processed_text
0,"Studies in gender have offered many reasons for the differing attitudes and skill levels that male and female undergraduate students possess when it comes to learning technology skills. Male and female students have differing learning styles influenced by such experiential factors as biology, historical inequalities, inconsistent political rights, and problems of sociological constructions. Studies such as Clegg and Trayhurn's (2000) in the United Kingdom (UK), Crews and Butterfield's (2003) in the United States, the European Union's (EU) the Women in Technology North West's surveys (2004), and the World Bank's research (2005) demonstrate that the gender gap is a reality when it comes to technology training, in most institutions and countries, both developed and developing. The gender gap persists despite many efforts to curb the effects of institutional and social inequality. However, the gender gap is different in each context and must be contextualized in each situation; in fact, the gender gap as a term conflates several different arguments and may indeed contribute to misunderstandings of the issue. In May 2003, the Technology Edge Research Project completed a major study of undergraduate liberal arts students and their attitudes concerning the technology skills that they have gained during university. This report builds upon the findings of the Technology Edge Research Project's preliminary needs assessment; this research was documented in a previous article in the Journal of Information and Technology Education (JITE) entitled, Providing a Technology Edge for Liberal Arts Students (Butler, Chao, & Ryan, 2003). Elaborating on our findings as they specifically related to gender issues, this paper addresses the following research questions: 1) Is there a gender gap between final year male and female undergraduate students when it comes to information technology (IT) skills? 2) What are the differences in attitudes and self- reported skill levels of final year male and female undergraduate students, in both the arts and non- arts? What is the relationship between these attitudes and measured aptitudes? 3) How can educators address these differences, when they develop and deploy materials designed to improve IT skills?",gender offere many reason differe attitude ability level male female student student possess come learning technology ability male female student differe learning style influenc experiential factor biology historical inequality inconsistent political right problem sociological construction clegg trayhurn unite kingdom uk crew butterfield unite state european union eu woman technology north west survey world bank demonstrate gender gap reality come technology training institution country develope develope gender gap persist despite many effort curb effect institutional social inequality however gender gap different context must contextualize situation fact gender gap term conflate several different argument may inde contribute misunderstanding issue may technology edge project complete major student liberal art student attitude concerning technology ability gaine build upon technology edge project preliminary need evaluation document previou journal information technology jite entitl provide technology edge liberal art student butler chao ryan elaborate specifically related gender issue address following question gender gap final year male female student student come information technology ability difference attitude self ability level final year male female student student art non art relationship attitude measure aptitude teacher address difference develop deploy material design improve ability
1,"Medical programmes across Canada recognise the increased need for Aboriginal doctors. This study aimed to determine Canadian medical programmes' commitment towards Aboriginal health issues, recruitment, admission policies, educational opportunities and support offered to Aboriginal medical undergraduate students. Medical school websites were initially reviewed to identify recruitment initiatives, admission policies and curriculum activities related to Aboriginal health. A questionnaire was sent to each dean of medicine to collect additional data on the programmes' recruitment strategies, admission policies, educational opportunities and the type of support offered to Aboriginal medical students. Sixteen medical programmes completed the questionnaire (return rate = 100%). There were 56 Aboriginal medical students enrolled across these medical programmes. More than 75% of students were completing their training in a western province. Over half of the medical programmes had recruitment initiatives and admission policies specific to Aboriginal applicants and the majority reported that their programmes' curricula included learning objectives specific to Aboriginal health. Most offered lectures and training opportunities to medical students and few offered core curriculum activities focusing on Aboriginal health. This descriptive paper offers a snapshot of initiatives across medical programmes aimed at increasing the number of Aboriginal applicants and medical students and at supporting their journeys towards the attainment of medical degrees. More research is needed to evaluate these initiatives' effectiveness. The results of such studies would not only provide needed information aimed at meeting the specific health needs of Aboriginal people, but may also contribute towards the laying of a framework to help narrow the gaps that exist within health care delivery to other minority groups.",medical program across canada recognise increase need aboriginal doctor aime determine canadian medical program commitment toward aboriginal health issue recruitment admission policy opportunity support offere aboriginal medical student student medical school website initially review identify recruitment initiatif admission policy curriculum activity related aboriginal health questionnaire sent dean medicine collect additional data program recruitment strategy admission policy opportunity type support offere aboriginal medical student sixteen medical program complete questionnaire return rate aboriginal medical student enrol across medical program student complete training western province half medical program recruitment initiatif admission policy specific aboriginal applicant majority program curriculum include learning objectif specific aboriginal health offere lecture training opportunity medical student offere core curriculum activity focuse aboriginal health descriptive offer snapshot initiatif across medical program aime increase number aboriginal applicant medical student support journey toward attainment medical degree neede evaluate initiatif effectiveness not provide neede information aime meeting specific health need aboriginal people may contribute toward laie framework help narrow gap exist health care delivery minority group
2,"The ability to perform clinical procedures safely is a key skill for health care professionals. Performing such procedures on conscious patients is challenging and requires a combination of technical and communication skills. We have developed quasi-clinical scenarios, where inanimate models attached to simulated patients provide a convincing learning environment. Procedures are rated by expert observers and by the 'patient' and recorded for subsequent review. This study explores the potential of locating such scenarios within a real clinical setting, allowing participants to experience the challenges of the workplace while ensuring patient safety. An innovative portable digital recording device (the 'Virtual Chaperone') is evaluated for use in clinical settings. A qualitative design (observation and interview studies) investigated volunteer medical students undertaking 2 procedure scenarios (insertion of urinary catheter and wound closure with sutures) within the accident unit of a large London hospital. All procedures were observed in real time and recorded digitally (using the Virtual Chaperone). A protocol was used for structured feedback. Observational and interview data was analysed using standard qualitative techniques. Seven sessions with 22 undergraduate medical students took place over 9 months within 1 centre. Data confirmed the feasibility of using a moveable, self-contained training scenario within an authentic clinical setting. Overall, the response from participants was positive. Scenario-based teaching within an authentic clinical environment is feasible and perceived by participants to be educationally useful. This approach blurs traditional boundaries between skills laboratory teaching and clinical practice and may offer considerable advantages in training for clinical procedures.",ability perform clinical procedure safely key ability health care professional perform procedure consciou patient challeng require combination technical communication ability develope quasi clinical scenario inanimate model attach simulate patient provide convinc learning environment procedure rate expert observer patient record subsequent review explore potential locate scenario real clinical setting allow participant experience challeng workplace ensure patient safety innovative portable digital record device virtual chaperone evaluate use clinical setting qualitative design observation interview investigate volunteer medical student undertake procedure scenario insertion urinary catheter wound closure suture accident unit large london hospital procedure observ real time record digitally use virtual chaperone protocol use structure feedback observational interview data analys use standard qualitative technique session student medical student took place month centre data confirm feasibility use moveable self containe training scenario authentic clinical setting overall response participant positive scenario based teaching authentic clinical environment feasible perceive participant educationally useful approach blur traditional boundary ability laboratory teaching clinical practice may offer considerable advantag training clinical procedure
3,"There is a need to encourage careers in rural medicine and to prepare potential rural physicians for life in rural communities. The authors describe a program that addresses this need, the Appalachian Preceptorship Program, and report the program's experience from 1985 to 2004. The Appalachian Preceptorship is a four-week summer elective conducted by the Department of Family Medicine of East Tennessee State University (ETSU) that offers students clinical preceptorships in rural areas of southern Appalachia. By the conclusion of the 2004 preceptorships, the program had served 225 medical students from 95 medical schools across the country and abroad. The program combines an individual community-based preceptorship with an interactive group instructional block, emphasizes rural medicine, and provides students an understanding of the interface between culture and medicine in southern Appalachia. Follow-up of Appalachian Preceptorship students during the 18-year period studied demonstrates that 82% of the 157 participants who matched before 2004 had selected residencies in primary care, with 60% entering family medicine Those completing the program were more than three times as likely to practice in a rural community compared with the national average. Fifty-six percent of their practice settings carry multiple rural or underserved designations. The program has helped transform a legislative mandate to train doctors for rural communities into an institutional culture leading to more extensive programs and a greater recognition of ETSU's rural mission. The authors encourage other medical schools to develop combined clinical/classroom electives that reflect their institutional priorities and that can address a wide variety of clinical interests.",need encourage career rural medicine prepare potential rural physician life rural community author describe program address need appalachian preceptorship program program experience appalachian preceptorship week summer elective conduct department family medicine east tennessee state etsu offer student clinical preceptorship rural area southern appalachia preceptorship program serv medical student medical school across country abroad program combine individual community based preceptorship interactive group instructional block emphasiz rural medicine provide student understand interface culture medicine southern appalachia follow appalachian preceptorship student year period demonstrate participant match select residency primary care entere family medicine complete program time likely practice rural community compare national average fifty percent practice setting carry multiple rural underserv designation program help transform legislative mandate train doctor rural community institutional culture leade extensive program greater recognition etsu rural mission author encourage medical school develop combine clinical classroom electif reflect institutional priority address wide variety clinical interest
4,"In this article, I explore a cross-cultural narrative inquiry method through a narrative inquiry about the process of reconstruction of five teacher stories. With dramatic, different cultural backgrounds, the five narrative inquirers-four teacher-researchers and myself-recovered and reconstructed our teacher stories by telling and living, retelling and reliving them in our 2-year life experience research. We simulated the interaction of teacher storytelling that originated in our multicultural teacher education classes. In pairs, we took equal turns to listen to and tell stories. We suspended our preconceived judgments about one another's cultures while listening to individual stories, and we resonated with our own stories. We changed partners periodically so that each one had a chance to work with everyone else. Despite our cultural differences, we bonded as friends, our teacher stories included one another's stories, and we multiplied and compounded our teacher stories while retelling and reliving them in our classroom practice. I identified an intersubjective ontology in the Taoist philosophy and in Buber's I and Thou theory as a theoretical framework supporting the interactions found in our research. I recognized that the intersubjective ontology could best generate cultural creativity when different and opposing cultures come into contact, whereby each respects the other as an equal subjectivity just as oneself, and each takes equal turns to listen to and tell stories of experiences. I developed an artistic representation of the interactions among the narrative inquirers and the teacher stories, splicing a web of Chinese knotworks.",explore cross cultural narrative inquiry method narrative inquiry process reconstruction teacher story dramatic different cultural background narrative inquirer teacher researcher recovere reconstruct teacher story tel live retel relive year life experience simulate interaction teacher storytel originate multicultural teacher class pair took equal turn listen tell story suspend preconceive judgment another culture listene individual story resonate story chang partner periodically chance work everyone else despite cultural difference bond friend teacher story include another story multiply compound teacher story retel relive classroom practice identify intersubjective ontology taoist philosophy buber thou theory theoretical framework support interaction found recognize intersubjective ontology best generate cultural creativity different oppose culture come contact whereby respect equal subjectivity oneself take equal turn listen tell story experience develope artistic representation interaction among narrative inquirer teacher story splice web chinese knotwork
5,"This study seeks to understand the college-to-work transition process from the perspectives of a group of new management consultants. This study focuses on the experience of a group of management consultants, how they construct meaning in their work, and the workplace itself. Participants in this study consisted of 25 consultants of a major management consulting firm in the USA. As the main source of information, interviews elicited the consultants' accounts of their experiences since they were hired and their opinions about issues and events related to their professional development. From the study, it is clear that learning from project experience and work relationships facilitated the new consultants' organizational acculturation process and their journeys of becoming management consultants required more than development of competencies. The study shows that development of professional identities and career adaptation to organizational priorities is an equally important agenda for these young professionals. Legitimate peripheral participation in this study highlights the progressive nature of the consultants' learning trajectories in the consulting practice. From an initially limited involvement in the practice to greatly increased responsibilities, the consultants moved toward full participation as their competencies developed along with their knowledge of the enterprise's social-political context. The consultants' journeys of becoming were idiosyncratic in their specifics, but evidenced clear common patterns of complex workplace socialization.",seek understand work transition process perspectif group new management consultant focus experience group management consultant construct meaning work workplace participant consist consultant major management consult firm usa source information interview elicite consultant account experience since hire opinion issue event related professional development clear learning project experience work relationship facilitate new consultant organizational acculturation process journey become management consultant require development competency show development professional identity career adaptation organizational priority equally important agenda young professional legitimate peripheral participation highlight progressive nature consultant learning trajectory consult practice initially limited involvement practice greatly increase responsibility consultant move toward full participation competency develope along knowledge enterprise social political context consultant journey become idiosyncratic specific evidenc clear common pattern complex workplace socialization
6,"Computer-assisted assessment (CAA) has become increasingly important in education in recent years. A variety of computer software systems have been developed to help assess the performance of students at various levels. However, such systems are primarily designed to provide objective assessment of students and analysis of test items, and focus has been mainly placed on higher and further education. Although there are commercial professional systems available for use by primary and secondary educational institutions, such systems are generally expensive and require skilled expertise to operate. In view of the rapid progress made in the use of computer- based assessment for primary and secondary students by education authorities here in the UK and elsewhere, there is a need to develop systems which are economic and easy to use and can provide the necessary information that can help teachers improve students' performance. This paper presents the development of a software system that provides a range of functions including generating items and building item banks, designing tests, conducting tests on computers and analysing test results. Specifically, the system can generate information on the performance of students and test items that can be easily used to identify curriculum areas where students are under performing. A case study based on data collected from five secondary schools in Hong Kong involved in the Curriculum, Evaluation and Management Centre's Middle Years Information System Project, Durham University, UK, has been undertaken to demonstrate the use of the system for diagnostic and performance analysis.",computer assist evaluation caa become increasingly important recent year variety computer software system develope help assess performance student variou level however system primarily design provide objective evaluation student test item focus mainly place although commercial professional system available use primary secondary institution system generally expensive require skilled expertise operate view rapid progress made use computer based evaluation primary secondary student authority uk elsewhere need develop system economic easy use provide necessary information help teacher improve student performance present development software system provide range function including generate item building item bank design test conduct test computer analys test specifically system generate information performance student test item easily use identify curriculum area student perform case based data collect secondary school hong kong involved curriculum evaluation management centre middle year information system project durham uk undertaken demonstrate use system diagnostic performance
7,"Recent developments in learning technology such as hypermedia is becoming widespread and offer significant contribution to improve the delivery of learning and teaching materials. A key factor in the development of hypermedia learning system is cognitive style (CS) as it relates to users' information processing habits, representing individual user's typical modes of perceiving, thinking, remembering and problem solving. The sample comprised of 217 students from Murdoch University who were enrolled in a first-year undergraduate unit. A survey was carried out every second semester over a period of 3 years (1999-2001). Both generalized linear model and tree-based regression were used to analyse the interaction among the learning dimensions and the effect on students' CS. When comparing both models, tree-based regression outperformed generalized linear model in this study. The research findings indicated that nonlinear learning is the primary dimension that determines students' CS. This is subsequently, followed by multiple tools (MT) and learner control (LC) dimensions. The results also confirm that background information has effects on students' CS. The overall findings suggest that students' preference of learning dimensions such as linear vs. non-linear, level of LC and the range of MT must be taken into consideration in order to enrich students' quality of education by means of motivating students' acquisition of subject matter through individualize instruction when designing, developing, and delivering educational resources. (c) 2004 Elsevier Ltd. All rights reserved.",recent development learning technology hypermedia become widespread offer significant contribution improve delivery learning teaching material key factor development hypermedia learning system cognitive style cs relate user information proces habit represent individual user typical mode perceive think remembere problem solv sample comprise student murdoch enrol first year student unit survey carry every second semester period year generalize linear model tree based regression use analyse interaction among learning dimension effect student cs compare model tree based regression outperform generalize linear model indicate nonlinear learning primary dimension determine student cs subsequently follow multiple tool mt student control lc dimension confirm background information effect student cs overall suggest student preference learning dimension linear vs non linear level lc range mt must taken consideration order enrich student quality mean motivate student acquisition subject matter individualize teaching design develope delivere resource elsevier right reserv
8,"Researchers examined trends and compared subgroup differences in violence-related behaviors on school property among Mississippi public high school students from 1993 to 2003. Findings are based on data from the Mississippi Youth Risk Behavior Surveillance System (YRBSS), a representative sample (N = 9,058) of Mississippi high school students. Males, non-Hispanic Whites, heavy smokers, and binge drinkers reported violence-related behaviors on school property more frequently than their counterparts. A statistically significant linear decrease occurred during 1993-2003 in the percent of students carrying a weapon (p < 0.0001) and having a physical fight (p < 0.0001). The percent of students threatened or injured with a weapon on school grounds did not decrease significantly (p = 0.2800). Violence-related behaviors were reported somewhat less frequently among 12th graders but overall, grade was not a statistically significant factor. Trends observed in Mississippi appear to be occurring throughout the United States and perhaps globally. Parents, school officials, and community administrators are committed to reducing violence-related behavior on school property. Although the decreases are encouraging, the percent of students who reported violence-related behaviors remains at a level that causes serious concern. Efforts must continue and perhaps increase to curb behaviors that may lead to school violence. Future studies should elucidate mechanisms associated with the self-reported decreasing behaviors so intervention programs can be properly focused.",researcher examine trend compare subgroup difference violence related behavior school property among mississippi public high school student based data mississippi youth risk behavior surveillance system yrbss representative sample mississippi high school student male non hispanic white heavy smoker binge drinker violence related behavior school property frequently counterpart statistically significant linear decrease occur percent student carrie weapon physical fight percent student threatene injure weapon school ground not decrease significantly violence related behavior somewhat less frequently among grader overall grade not statistically significant factor trend observ mississippi appear occur throughout unite state perhap globally parent school official community administrator committed reduce violence related behavior school property although decreas encourage percent student violence related behavior remain level caus seriou concern effort must continue perhap increase curb behavior may lead school violence future elucidate mechanism associated self decrease behavior intervention program properly focuse
9,"Veterinary medical educators are charged with preparing students to enter practice in veterinary medicine during a four-year, intensive, professional education program. This requires giving students in laboratory training that involves dead, anesthetized, or conscious animals, so that they become proficient in the expected range of veterinary knowledge, skills, and abilities. Undeniably, experience with animals is essential to prepare students for a profession in which animals comprise the total domain. However, the consumptive use of animals for teaching students, especially in laboratories, is increasingly subject to regulatory requirements, while also being scrutinized by animal protection groups, and has become a common focus of contention among veterinary students. Not surprisingly, the use of animals in teaching has sharply declined over the past few decades, as new teaching resources and methods, involving less consumptive use of animals, have been incorporated. This change in veterinary medical education has occurred on such a wide scale, in almost all veterinary schools and colleges, that the educational approach can serve as a model for further developments within the veterinary educational community and, indeed, for animal-related material in secondary schools and undergraduate higher education. This article highlights examples of the leadership provided by veterinary educators in developing alternative teaching resources and methods, while maintaining the high level of proficiency expected from traditional educational approaches.",veterinary medical teacher charg prepare student enter practice veterinary medicine year intensive professional program require give student laboratory training involf dead anesthetize consciou animal become proficient expect range veterinary knowledge ability ability undeniably experience animal essential prepare student profession animal comprise total domain however consumptive use animal teaching student especially laboratory increasingly subject regulatory requirement scrutinize animal protection group become common focus contention among veterinary student not surprisingly use animal teaching sharply decline past decade new teaching resource method involv less consumptive use animal incorporate change veterinary medical occur wide scale almost veterinary school colleg approach serve model development veterinary community inde animal related material secondary school student highlight example leadership provide veterinary teacher develope alternative teaching resource method maintaine high level proficiency expect traditional approach
